input_term,term,industry
Medical Distribution,Marketing,Marketing/Advertising/PR
Medical Education,Education,Education/Training
Medical Equip,Healthcare,Healthcare
Medical Equipment,Healthcare,Healthcare
Medical Industry,Healthcare,Healthcare
Medical Insurance,Insurance,Insurance
Medical Laboratory Science,Science Research,Science/Research
Medical Libraries,Healthcare,Healthcare
Medical Library,Healthcare,Healthcare
Medical Malpractice Insurance Company,Insurance,Insurance
Medical Manufacturing,Manufacturing,Manufacturing/Mechanical
Medical Product Manufacturing,Manufacturing,Manufacturing/Mechanical
Medical Products Distribution,Marketing,Marketing/Advertising/PR
Medical Professional Association,Healthcare,Healthcare
Medical Publication,Publishing,Arts/Entertainment/Publishing
Medical Research,Research,Science/Research
Medical Research Data (University),Research,Science/Research
Medical Research and Development,Pharmaceutical,Pharmaceutical/Bio-tech
Medical Sales,Sales,Sales
Medical Social Work,Arts Entertainment Publishing,Arts/Entertainment/Publishing
Medical Software,Healthcare,Healthcare
Medical Speech Pathology,Healthcare,Healthcare
Medical Technology,Healthcare,Healthcare
Medical administration,Healthcare,Healthcare
Medical call center,Arts Entertainment Publishing,Arts/Entertainment/Publishing
Medical clinic,Healthcare,Healthcare
Medical communications (pharma),Healthcare,Healthcare
Medical credentialling,Healthcare,Healthcare
Medical device & CPR Equipment,Training,Education/Training
Medical device manufacturer,Manufacturing,Manufacturing/Mechanical
Medical device/healthcare,Healthcare,Healthcare
Medical device/tissue,Mechanical,Manufacturing/Mechanical
Medical devices / biotech,Bio-tech,Pharmaceutical/Bio-tech
"Medical devices, textile",Manufacturing Mechanical,Manufacturing/Mechanical
Medical equipment manufacturing,Manufacturing,Manufacturing/Mechanical
Medical field,Pharmaceutical,Pharmaceutical/Bio-tech
Medical lab equipment,Science Research,Science/Research
Medical optimetry,Healthcare,Healthcare
Medical publishing,Pharmaceutical,Pharmaceutical/Bio-tech
Medical school,Education,Education/Training
Medical specialty society,Healthcare,Healthcare
Medical transcription,Healthcare,Healthcare
Medical/Therapy,Pharmaceutical,Pharmaceutical/Bio-tech
Medicare Part D,Healthcare,Healthcare
Medicare insurance,Healthcare,Healthcare
Medicicine,Healthcare,Healthcare
Medicine,Healthcare,Healthcare
Medico-legal consulting,Legal,Legal
Medtech,Bio-tech,Pharmaceutical/Bio-tech
Meeting Planning,Project Management,Project Management
Meetings,Travel,Hospitality/Travel
Meetings and Events,Social,Social/Community
Mental Health,Healthcare,Healthcare
Mental Health Care,Healthcare,Healthcare
Mental Health and Addiction Services,Pharmaceutical,Pharmaceutical/Bio-tech
Mental Health/Behavioral Health,Healthcare,Healthcare
Mental Health/Social Services,Social,Social/Community
Mental Healthcare,Healthcare,Healthcare
Mental Heath/Education,Education,Education/Training
Mental health & homelessness,Healthcare,Healthcare
Mental health and substance use,Pharmaceutical,Pharmaceutical/Bio-tech
Mental health housing,Healthcare,Healthcare
Mental health/health care,Healthcare,Healthcare
Mental health/medical,Healthcare,Healthcare
Mental health/social work,Social,Social/Community
Merchandise,Retail,Retail
Merchandising,Retail,Retail
Merchandize Manufacturing,Manufacturing,Manufacturing/Mechanical
Merchant Services,Customer Service,Customer Service
Merchant Services Sales,Sales,Sales
Metal Fab Shop,Manufacturing Mechanical,Manufacturing/Mechanical
Metal Fabrication,Manufacturing Mechanical,Manufacturing/Mechanical
Metal Processing / electrical engineering,Engineering,Engineering/Architecture
Metal Recycling,Manufacturing,Manufacturing/Mechanical
Metal manufacturing,Manufacturing Mechanical,Manufacturing/Mechanical
Metals,Energy,Oil/Gas/Energy
Metals & Mining,Manufacturing,Manufacturing/Mechanical
Meteorology,Science Research,Science/Research
Metrology and Calibration,Research,Science/Research
Mfg,Manufacturing,Manufacturing/Mechanical
Mfg software and computers,Manufacturing,Manufacturing/Mechanical
Mgmt Consulting,Consulting,Upper Management/Consulting
Micro Biology,Research,Science/Research
Microelectronics,Engineering,Engineering/Architecture
Mid-sized city government-Public works,Upper Management,Upper Management/Consulting
Midstream Oil & Gas Transportation,Oil Gas Energy,Oil/Gas/Energy
Military,Military,Government/Military
Military (USAF),Military,Government/Military
Military - US Navy,Military,Government/Military
Military Contracting,Military,Government/Military
Military Contractor,Military,Government/Military
Military contractors,Military,Government/Military
Military education,Military,Government/Military
Military non profit,Military,Government/Military
Military officer,Military,Government/Military
Mineral Exploration,Finance,Accounting/Finance
Mini Casino,Construction,Construction/Facilities
Mining,Oil Gas Energy,Oil/Gas/Energy
Mining Consulting,Engineering,Engineering/Architecture
Mining and construction,Construction,Construction/Facilities
Ministry,Media,Media
Minning,Oil Gas Energy,Oil/Gas/Energy
Misc,Science Research,Science/Research
Missile Defense,Military,Government/Military
Mobile,Administrative,Administrative
Mobile Apps,Computer Internet,Computer/Internet
Mobile Gaming,Gaming,Gaming
Mobile Messaging Technology -SaaS,Telecommunications,Telecommunications
Mobile devices,Computer Internet,Computer/Internet
Mobile phone retail,Retail,Retail
Mortgage,Loans,Banking/Loans
Mortgage Industry,Loans,Banking/Loans
Mortgage Insurance,Insurance,Insurance
Mortgage Servicing,Loans,Banking/Loans
Mortgage Title Services,Loans,Banking/Loans
Mortgage and Business Lending,Loans,Banking/Loans
Mortgage banking,Loans,Banking/Loans
Mortgage financing,Loans,Banking/Loans
"Mortgage, technology",Loans,Banking/Loans
Motherhood,Retail,Retail
Motion Graphics,Computer,Computer/Internet
Motion Pictures,Community,Social/Community
Motorsports,Sport,Sport/Leisure
Movie Theaters & Cinemas,Gaming,Gaming
Movie exhibitor,Advertising,Marketing/Advertising/PR
Moving,Restaurant Food Service,Restaurant/Food Service
Moving & Storage,Restaurant Food Service,Restaurant/Food Service
Moving and Storage,Restaurant Food Service,Restaurant/Food Service
Mulitnational Manufacturing Conglomerate,Business,Business/Analyst
Multi family,Real Estate,Real Estate
Multimedia,Media,Media
Multimedia Software,Media,Media
Municipal,Government,Government/Military
Municipal Construction,Construction,Construction/Facilities
Municipal Government,Government,Government/Military
Municipal Government (Recreation),Sport Leisure,Sport/Leisure
Municipal Government HR,Human Resources,Human Resources
Municipal Government/Electric Utility,Public Sector,Public Sector
Municipal Govt,Government,Government/Military
Municipal Library,Public Sector,Public Sector
Municipal-related nonprofit,Non-Profit,Non-Profit/Volunteering
Municipality,Government,Government/Military
Municiple,Government,Government/Military
Museum / Culture,Arts,Arts/Entertainment/Publishing
Museum Archive,Architecture,Engineering/Architecture
Museum Education,Education,Education/Training
Museum Exhibit Design,Architecture,Engineering/Architecture
Museum Field/Trade Association,Arts,Arts/Entertainment/Publishing
Museum and Archives,Research,Science/Research
Museum and Heritage,Travel,Hospitality/Travel
Museum management,Architecture,Engineering/Architecture
Museum publishing,Arts,Arts/Entertainment/Publishing
Museum work,Arts,Arts/Entertainment/Publishing
Museum/ IT,Arts,Arts/Entertainment/Publishing
Museum/Higher Ed,Arts,Arts/Entertainment/Publishing
Museum/Non-profit,Non-Profit,Non-Profit/Volunteering
Museum/arts,Arts,Arts/Entertainment/Publishing
Museums,Arts,Arts/Entertainment/Publishing
Museums (I'm am Archivist),Arts Entertainment Publishing,Arts/Entertainment/Publishing
Museums - Non-Profit,Non-Profit,Non-Profit/Volunteering
"Museums, Archvies, Libraries",Public Sector,Public Sector
Museums-Federal,Arts,Arts/Entertainment/Publishing
Museums/Cultural Institutions,Arts,Arts/Entertainment/Publishing
Music,Legal,Legal
Music Education,Education,Education/Training
Music Industry,Publishing,Arts/Entertainment/Publishing
Music Licensing,Non-Profit,Non-Profit/Volunteering
Music Retail,Retail,Retail
Music Rights,Non-Profit,Non-Profit/Volunteering
Music label,Arts,Arts/Entertainment/Publishing
Music streaming,Internet,Computer/Internet
Mutual funds,Finance,Accounting/Finance
NCAA Athletics,Sport,Sport/Leisure
NFP Cultural Institution,Arts,Arts/Entertainment/Publishing
NGO,Non-Profit,Non-Profit/Volunteering
NGO Arts & Culture,Arts,Arts/Entertainment/Publishing
NGO/Advocacy,Government,Government/Military
NGO/non profit org,Non-Profit,Non-Profit/Volunteering
NGO/not-for-profit/charities,Non-Profit,Non-Profit/Volunteering
NYC Government,Environmental,Environmental
Nanotechnology,Science Research,Science/Research
National Laboratory,Energy,Oil/Gas/Energy
National Security,Security,Law Enforcement/Security
National Security (think tank),Media,Media
National Security/Academia,Security,Law Enforcement/Security
Native American sovereign nation,Government,Government/Military
Natural Food,Food Service,Restaurant/Food Service
Natural Gas,Gas,Oil/Gas/Energy
Natural Gas Detection,Gas,Oil/Gas/Energy
Natural Health supplements,Healthcare,Healthcare
Natural Land and Resource Management,Human Resources,Human Resources
Natural Products (Food/Beverage),Retail,Retail
Natural Resource Conservation,Agriculture,Agriculture
Natural Resource Management,Human Resources,Human Resources
Natural Resources,Human Resources,Human Resources
"Natural Resources, Government",Human Resources,Human Resources
Naval,Leisure,Sport/Leisure
Network Hardware,Telecommunications,Telecommunications
Network Marketing,Marketing,Marketing/Advertising/PR
Network News,Security,Law Enforcement/Security
Network Security,Security,Law Enforcement/Security
Network Telecom,Telecommunications,Telecommunications
Network and Communications,Telecommunications,Telecommunications
Network/IT Consulting,Consulting,Upper Management/Consulting
Networking,Social Community,Social/Community
Networking Technology,Computer Internet,Computer/Internet
Networking/Telecom,Telecommunications,Telecommunications
Neuroscience,Science Research,Science/Research
New Construction,Real Estate,Real Estate
New Tech/Startup,Business,Business/Analyst
News,Media,Media
News Production,Media,Media
News/Media,Media,Media
Newspaper Publishing,Advertising,Marketing/Advertising/PR
Newspapers,Advertising,Marketing/Advertising/PR
Nhs england,Healthcare,Healthcare
Non Governmental Organization,Non-Profit,Non-Profit/Volunteering
Non Profit (Fundraising),Non-Profit,Non-Profit/Volunteering
Non Profit - Mental Health,Healthcare,Healthcare
Non Profit - Youth Development,Non-Profit Volunteering,Non-Profit/Volunteering
Non Profit Foundation,Non-Profit,Non-Profit/Volunteering
Non Profit/ Legal Aid,Non-Profit,Non-Profit/Volunteering
Non Profit/Professional Association,Non-Profit,Non-Profit/Volunteering
Non for profit,Non-Profit,Non-Profit/Volunteering
Non for profit- fundraising,Non-Profit,Non-Profit/Volunteering
Non orofit theater,Non-Profit,Non-Profit/Volunteering
Non profit (Environment),Environmental,Environmental
Non profit (community foundation),Non-Profit,Non-Profit/Volunteering
Non profit (international),Non-Profit,Non-Profit/Volunteering
Non profit - Art and Advocacy,Arts,Arts/Entertainment/Publishing
Non profit - Day program for I/DD,Healthcare,Healthcare
Non profit - child rights,Healthcare,Healthcare
Non profit / NGO,Non-Profit,Non-Profit/Volunteering
Non profit STEM,Education,Education/Training
Non profit agriculture advocacy,Agriculture,Agriculture
Non profit child welfare,Non-Profit,Non-Profit/Volunteering
Non profit community health care,Non-Profit,Non-Profit/Volunteering
Non profit environmental,Environmental,Environmental
Non profit environmental organization,Environmental,Environmental
Non profit fund raising,Non-Profit,Non-Profit/Volunteering
Non profit human services,Non-Profit,Non-Profit/Volunteering
Non profit media,Non-Profit,Non-Profit/Volunteering
Non profit medical association,Non-Profit,Non-Profit/Volunteering
Non profit services,Non-Profit,Non-Profit/Volunteering
"Non profit, public mental health",Healthcare,Healthcare
Non profit- global health,Healthcare,Healthcare
Non profit--statewide membership org,Non-Profit,Non-Profit/Volunteering
